state,yr,qtr,index_nsa,index_sa
AK,1991,1,100.00,100.00
AK,1991,2,100.80,100.18
AK,1991,3,102.05,101.15
AK,1991,4,102.23,102.16
AK,1992,1,102.45,102.39
AK,1992,2,104.04,103.40
AK,1992,3,104.92,103.99
AK,1992,4,104.25,104.29
AK,1993,1,104.94,104.77
AK,1993,2,107.06,106.37
AK,1993,3,108.07,107.17
AK,1993,4,110.44,110.58
AK,1994,1,110.95,110.65
AK,1994,2,111.55,110.77
AK,1994,3,112.79,111.96
AK,1994,4,111.20,111.35
AK,1995,1,114.63,114.28
AK,1995,2,116.42,115.51
AK,1995,3,117.70,116.93
AK,1995,4,117.40,117.57
AK,1996,1,121.01,120.69
AK,1996,2,121.12,120.06
AK,1996,3,120.81,120.06
AK,1996,4,123.19,123.34
AK,1997,1,122.88,122.71
AK,1997,2,125.03,123.81
AK,1997,3,125.30,124.45
AK,1997,4,125.44,125.60
AK,1998,1,125.69,125.72
AK,1998,2,129.19,127.81
AK,1998,3,130.03,129.05
AK,1998,4,130.71,130.86
AK,1999,1,131.68,131.94
AK,1999,2,133.98,132.50
AK,1999,3,134.65,133.41
AK,1999,4,130.96,131.21
AK,2000,1,133.18,133.56
AK,2000,2,136.51,135.01
AK,2000,3,138.09,136.64
AK,2000,4,136.69,137.06
AK,2001,1,139.96,140.37
AK,2001,2,144.79,143.26
AK,2001,3,146.75,145.08
AK,2001,4,148.43,148.89
AK,2002,1,149.13,149.53
AK,2002,2,153.43,151.88
AK,2002,3,158.01,156.19
AK,2002,4,156.77,157.19
AK,2003,1,159.90,160.37
AK,2003,2,164.83,163.20
AK,2003,3,166.78,164.80
AK,2003,4,170.39,170.83
AK,2004,1,175.05,175.68
AK,2004,2,178.78,176.90
AK,2004,3,185.49,183.33
AK,2004,4,187.63,188.01
AK,2005,1,192.21,193.21
AK,2005,2,199.80,197.39
AK,2005,3,206.56,204.25
AK,2005,4,207.93,208.27
AK,2006,1,211.14,212.51
AK,2006,2,219.00,216.08
AK,2006,3,220.40,218.10
AK,2006,4,219.69,219.77
AK,2007,1,220.96,222.81
AK,2007,2,229.31,226.06
AK,2007,3,226.75,224.33
AK,2007,4,222.15,222.18
AK,2008,1,217.03,219.00
AK,2008,2,226.45,223.31
AK,2008,3,223.84,221.26
AK,2008,4,224.89,224.85
AK,2009,1,223.47,225.73
AK,2009,2,218.72,215.78
AK,2009,3,217.84,215.02
AK,2009,4,215.78,215.86
AK,2010,1,212.88,215.03
AK,2010,2,222.32,219.60
AK,2010,3,225.42,222.12
AK,2010,4,219.94,220.02
AK,2011,1,222.40,224.93
AK,2011,2,225.53,222.74
AK,2011,3,227.64,224.09
AK,2011,4,223.33,223.43
AK,2012,1,215.43,218.08
AK,2012,2,227.29,224.34
AK,2012,3,230.56,227.11
AK,2012,4,227.33,227.05
AK,2013,1,227.03,230.37
AK,2013,2,234.28,230.77
AK,2013,3,233.82,230.74
AK,2013,4,232.16,231.57
AK,2014,1,228.08,231.51
AK,2014,2,238.97,235.25
AK,2014,3,240.09,237.36
AK,2014,4,242.17,241.26
AK,2015,1,237.53,241.00
AK,2015,2,246.10,242.20
AK,2015,3,244.75,242.42
AK,2015,4,248.16,247.15
AK,2016,1,242.28,245.24
AK,2016,2,254.36,250.58
AK,2016,3,252.56,250.57
AK,2016,4,249.29,248.19
AK,2017,1,248.91,251.39
AK,2017,2,252.82,249.27
AK,2017,3,257.27,255.58
AK,2017,4,255.46,254.41
AK,2018,1,256.56,258.44
AK,2018,2,260.92,257.60
AK,2018,3,257.09,255.57
AK,2018,4,264.62,263.62
AK,2019,1,262.31,263.75
AL,1991,1,100.00,100.00
AL,1991,2,101.73,101.35
AL,1991,3,102.78,102.14
AL,1991,4,103.46,102.91
AL,1992,1,104.47,104.47
AL,1992,2,104.77,104.36
AL,1992,3,106.99,106.31
AL,1992,4,108.45,107.91
AL,1993,1,109.02,109.02
AL,1993,2,110.13,109.66
AL,1993,3,112.11,111.40
AL,1993,4,113.37,112.87
AL,1994,1,114.20,114.16
AL,1994,2,116.45,115.92
AL,1994,3,117.28,116.52
AL,1994,4,117.96,117.56
AL,1995,1,118.60,118.51
AL,1995,2,119.87,119.24
AL,1995,3,121.67,120.91
AL,1995,4,121.95,121.63
AL,1996,1,122.93,122.78
AL,1996,2,125.27,124.56
AL,1996,3,125.88,125.13
AL,1996,4,126.66,126.42
AL,1997,1,127.95,127.73
AL,1997,2,128.47,127.66
AL,1997,3,129.86,129.17
AL,1997,4,129.75,129.55
AL,1998,1,131.06,130.75
AL,1998,2,133.03,132.18
AL,1998,3,134.33,133.66
AL,1998,4,135.64,135.46
