c,mu1,pi,piStar,y
161.0,1.1320759156715066,0.9822647873037894,0.97,2.3515173851491697
173.0,1.4153403191389244,0.9903143145230203,0.98,3.4914627775998994
174.0,1.450556907005442,0.9936242183485202,0.98,4.55107595364236
168.0,1.2217209926809558,0.9818785589607119,0.98,1.4535912643171394
176.0,1.2398687164377342,0.9902561250036963,0.98,2.5058812788728733
173.0,1.1106195974277602,0.9817013150901046,0.97,1.8232080772947883
167.0,1.3010401465115449,0.995332113068938,0.98,2.0494905093815587
164.0,1.2417394575226033,0.9851242050244816,0.98,1.5389486411278845
185.0,0.9518831661846292,0.9859008755261958,0.96,2.4761548288568456
188.0,0.971951838479425,0.9742993921253098,0.97,0.811865761183198
188.0,1.2465926324110665,0.9972320437671658,0.98,2.8257516207144153
161.0,1.4740814170143857,0.9969088993292715,0.98,2.214356370752224
224.0,0.9309759287581162,0.9819376186796142,0.96,1.8283069578648243
158.0,1.6066733471485446,0.993121586245399,0.98,2.684927169504007
195.0,0.9638328823625266,0.9810031875578009,0.97,3.2217255183862514
182.0,0.8096968026256275,0.9670867692659825,0.95,2.110535734709118
192.0,1.0473267918108489,0.9784796824063092,0.97,1.484615078897751
188.0,1.2815132261346398,0.9876582689444613,0.98,1.1390292792811623
181.0,0.9087204880198206,0.9661319996506629,0.96,0.7104238862609119
167.0,1.3102638859739493,0.9964843349854552,0.98,2.0511526276326904
175.0,0.9294303968175304,0.9705445532367886,0.96,1.5339457515080785
159.0,1.1362834411172438,0.9767938360726498,0.97,1.6878534913564978
208.0,0.7580517953027172,0.9616923428751141,0.95,3.008283876311455
158.0,1.3876492514262562,0.9958039030364931,0.98,2.1754620556486555
167.0,1.3560002569029999,0.9938649150281016,0.98,1.6638527390907474
166.0,1.0629999032748252,0.9774639149883404,0.97,1.6672944277737458
168.0,1.4229678455608823,0.9916669629607784,0.98,1.9998638317611215
196.0,1.2472331110781398,0.9902568262366044,0.98,1.8249469055326741
176.0,1.234772839223112,0.9890097289696116,0.98,1.3992734895648584
165.0,1.3477535771070357,0.9955163269373613,0.98,3.103788326928724
180.0,1.4004811124102612,0.993249257879665,0.98,1.982645716186446
188.0,0.9791281430895912,0.9830645331854698,0.97,1.861284767524178
