c,mu1,pi,piStar,y
317.0,0.8137961389789875,0.951744666260405,0.94,2.039387637720046
334.0,0.6824022534734026,0.950732854988544,0.92,1.9117786605108122
317.0,0.8555101634743741,0.9582426742279379,0.95,1.4433669478442273
311.0,0.7601376666985747,0.9521622103055358,0.94,2.0952912130889727
316.0,0.713801152704295,0.9418962283060477,0.93,1.1498784955039798
318.0,0.9683907069863056,0.9754052533678512,0.96,3.705416519774027
309.0,0.8253437768742014,0.9512443958493054,0.94,1.8973917534617222
307.0,0.9438304619957931,0.9885443785818476,0.95,2.2547865239940563
372.0,0.8166918079768094,0.9747157863745479,0.94,2.5203775556843224
345.0,0.6933048262281958,0.9789431636822261,0.92,3.4418615124514433
320.0,0.7615397266465163,0.9776927804750355,0.94,2.1964580978905337
321.0,0.8637206859696998,0.9761722526651357,0.95,2.2112200178053705
305.0,0.5685003886311573,0.925610358665886,0.89,1.0766604074572428
310.0,0.8761948467737709,0.963175515712597,0.95,1.6746099885743897
320.0,0.760254935121385,0.9577681856994875,0.94,1.7751841959956653
312.0,0.8480011490238711,0.9548388951995167,0.95,1.2330951030243211
316.0,0.9009788330169879,0.9575685358556777,0.95,2.117632697250209
310.0,0.9439036230551863,0.952776632436688,0.95,0.9701984050896487
318.0,0.7987620338144437,0.9423660433400243,0.94,1.922689733362505
306.0,0.9033545609743048,0.974394050478017,0.95,1.6649825475663507
330.0,0.7102221795732764,0.9408389347189944,0.93,1.3179690591202444
251.0,-1.1057384868818085,0.9679989331710545,0.96,-1.600596153033574
340.0,0.8866975518888667,0.9770343438644723,0.95,2.150095001829704
316.0,0.790724820259385,0.9525350741452959,0.94,0.7469808153722297
313.0,0.8116197466181478,0.9662483284032162,0.94,1.3407845024839016
451.0,0.7309878552149065,0.9368409551506556,0.93,1.621525688153045
313.0,0.6808363243431416,0.9340466752857985,0.92,1.4670680110131054
304.0,0.7991356270126934,0.9582153486048732,0.94,1.839379642685776
312.0,1.0309160257384202,0.9746850396669298,0.96,2.1034523414334334
312.0,0.8057027500207579,0.9581650939309001,0.94,2.0054696914239845
314.0,0.8168442688816624,0.9486916105533952,0.94,1.0877222467928398
226.0,1.0830489752701378,0.9643176281511129,0.96,1.219493933319066
191.0,0.9921663575694665,0.9649223966386913,0.96,2.3037263157789503
336.0,0.8024053212237916,0.9679530165654942,0.94,1.3916098721144237
313.0,0.8992393411514464,0.9845391117208541,0.95,2.3710222134713623
326.0,0.779586717618156,0.9439236972788979,0.94,1.2122484289055289
311.0,0.8739211437502408,0.9793135176068238,0.95,1.9880668301340467
320.0,0.7683684480135596,0.9455251231329228,0.94,2.001489751644364
312.0,0.7423018387586999,0.9366756551261057,0.93,0.7707683826525229
303.0,1.2545182826325578,0.9948834202887759,0.97,2.9348610183778634
332.0,0.7099389031449598,0.9719702642547028,0.93,1.9379108141183548
312.0,0.622693412364684,0.9369385948616769,0.91,2.644882226214582
309.0,0.8930769571958046,0.9812639732943383,0.95,1.6878419651668082
314.0,0.7927147864652643,0.9654315633688334,0.94,1.8005523209746153
316.0,0.9240641242948756,0.9596681624754473,0.95,2.4471143814506444
162.0,-0.8316427843212597,0.9454151155045035,0.94,-2.3252503867382677
371.0,0.9656149198596253,0.9859628278448012,0.96,3.3790653592507764
263.0,0.8308588450454987,0.9431837285247608,0.94,1.5455985251224615
327.0,0.7944023108154842,0.9629166619503701,0.94,1.7567065468848493
337.0,0.8892814483946785,0.9669940627288909,0.95,2.0455683526290462
318.0,0.8621114014450899,0.9711854882676794,0.95,1.7580065776263143
390.0,0.6738413521722614,0.9258280450047136,0.92,1.9588227193200551
311.0,1.283408171831326,0.9949487540097756,0.97,2.6762953894283688
312.0,0.7859846832749524,0.9680521414120177,0.94,3.8215531268067426
331.0,0.7417424947110262,0.9714993209587854,0.93,2.0979319302432473
326.0,0.7945772332346995,0.9488332244181295,0.94,0.7461208632589938
332.0,0.7419263316990758,0.9572656364270338,0.93,2.2177376474547277
309.0,1.0244004337803883,0.9870999773688435,0.96,3.3669315179872568
327.0,0.7714722906647302,0.9596466842680892,0.94,1.491335226002895
347.0,0.7355593960164764,0.9580979000898271,0.93,1.9505384907102914
341.0,0.7744458919056839,0.9657807306577106,0.94,1.5892687749978651
310.0,0.804728682614029,0.9455358757029177,0.94,1.1274818883316966
372.0,0.8020529570066801,0.977563709011206,0.94,1.7778713938713344
314.0,0.8580427561767487,0.9764924384230592,0.95,2.098236881069719
325.0,0.7386287518519347,0.9332122133938158,0.93,0.9038348197484231
340.0,0.7286556345132925,0.9541011414639897,0.93,2.9652660100351858
350.0,0.8916555248793115,0.9813086695726024,0.95,2.7903384599949677
317.0,0.7283275874352435,0.9455175859914281,0.93,1.9791848566245638
313.0,0.9298175815353256,0.9906500716745852,0.95,2.4138333947283512
314.0,0.999411680927682,0.9882520842687118,0.96,2.2049413678532597
308.0,0.8614539302030355,0.9530409598910241,0.95,1.040984773557911
207.0,-1.1606066687466972,0.9802978679965186,0.97,-1.644109856122489
312.0,0.7263202352520227,0.9459450015976256,0.93,0.8921766705506466
360.0,0.7423987324273449,0.9694698176361018,0.93,2.234522044122588
302.0,0.767448857994546,0.9506349412028958,0.94,1.739847049674989
331.0,0.9920735668776197,0.9859525560771856,0.96,2.9830045189037087
319.0,0.7663246342500343,0.9672361071936625,0.94,2.124081975903082
329.0,0.8933820558726117,0.978344111773775,0.95,3.0235937060835063
318.0,0.830708579144287,0.9471091651453094,0.94,1.8913963408298107
311.0,0.9155398106801689,0.984276171921661,0.95,2.1926425306085378
100.0,-0.5493739893735607,0.9929804726251363,0.89,-1.2698983808637516
330.0,0.7959867022675847,0.9635476553495815,0.94,3.8303202835848813
320.0,0.8168738944018695,0.9643789971226886,0.94,1.5015587378559894
317.0,0.7678852094893648,0.9461814654558355,0.94,1.1157732534853677
