tau,alpha,gamma,expected depay,sd,type I,type II
110.0,0.8,0.0,25.610297069450013,14.270272766047961,0.0036,0.0
150.0,0.8,0.0,27.138491022796046,19.77472699434298,0.0086,0.0
200.0,0.8,0.0,28.22584577872601,25.107500144992994,0.0157,0.0
300.0,0.8,0.0,30.82437238493725,34.545186164766875,0.044,0.0
110.0,0.3,0.5,34.43627057406664,31.530029608980207,0.0036,0.0
150.0,0.3,0.5,36.532176719790186,34.575794997660324,0.0086,0.0
200.0,0.3,0.5,38.0117850248908,38.49400659096805,0.0157,0.0
300.0,0.3,0.5,40.93274058577407,45.04240650898871,0.044,0.0
110.0,0.1,0.7,32.78562826174226,36.098831872818316,0.0036,0.0
150.0,0.1,0.7,33.90296550332863,35.63558844314412,0.0086,0.0
200.0,0.1,0.7,33.79112059331504,34.31265331893197,0.0157,0.0
300.0,0.1,0.7,34.52887029288701,35.54909980646657,0.044,0.0
110.0,0.0,0.8,22.249899638699304,23.14287598250125,0.0036,0.0
150.0,0.0,0.8,23.297760742384497,23.772085831622093,0.0086,0.0
200.0,0.0,0.8,23.822208676216604,23.489475239707165,0.0157,0.0
300.0,0.0,0.8,24.30774058577407,23.65286042304648,0.044,0.0
