tau,alpha,cf,expected depay,sd,type I,type II
110.0,0.8,0.005,27.637585238668265,14.697778486699892,0.0028,0.0
150.0,0.8,0.005,29.277744270205062,21.426522296403526,0.0052,0.0
200.0,0.8,0.005,30.67849560206247,27.74848694166531,0.0109,0.0
300.0,0.8,0.005,33.74566177225586,38.770358161346934,0.0261,0.0
110.0,0.8,0.008,25.65361445783134,14.243616797211834,0.004,0.0
150.0,0.8,0.008,27.314951103941922,20.367265299765602,0.0081,0.0
200.0,0.8,0.008,28.569132159934895,25.844070710984525,0.0171,0.0
300.0,0.8,0.008,31.020144035069393,35.4879698458286,0.0419,0.0
110.0,0.8,0.01,24.875904340836,13.966584712485806,0.0048,0.0
150.0,0.8,0.01,26.41056992724333,20.044511035042838,0.0104,0.0
200.0,0.8,0.01,27.558258381030242,24.630363851534867,0.0216,0.0
300.0,0.8,0.01,29.490392736486513,32.634676010473825,0.0528,0.0
