c,mu1,pi,piStar,y
194.0,0.5730625467362106,0.9667174987120043,0.95,2.4319287343030807
107.0,-0.6378947726762063,0.9683085482671109,0.95,-2.0876689436336715
152.0,0.8586669807463706,0.9841236054232685,0.97,1.3574413612929708
155.0,0.7789368402047795,0.9882556600974316,0.96,2.1400951843518987
155.0,0.7253321773066922,0.9608241611802578,0.96,3.5840072058700336
157.0,0.7441038982622221,0.9623768455060727,0.96,2.172608299474918
101.0,-0.6013829720386318,0.950100332129371,0.95,-1.3116671231953658
162.0,0.7463976565329711,0.9813891951085643,0.96,1.8104793660911427
179.0,0.6281506357034368,0.9549096034577358,0.95,0.9447775451440508
177.0,0.6224138957179045,0.9540754590652535,0.95,1.2162761293622952
153.0,0.9681456521326153,0.9932068951474946,0.97,3.415633761570648
178.0,0.6109393206759682,0.9565482966793818,0.95,0.7809323792148105
102.0,0.5957986558180574,0.9597456848210316,0.95,0.8429175157559583
161.0,0.724219708354352,0.9689213033800944,0.96,0.9413168843273372
154.0,0.7813304752554142,0.972635142255262,0.96,2.1679761049624515
158.0,0.7255164825679283,0.9687012800270037,0.96,1.264528634061174
125.0,0.6942723829705986,0.984565259092238,0.96,3.18649404442104
156.0,0.6995282846530934,0.9785910505763085,0.96,1.3069724634050974
163.0,0.6482362372629189,0.9722679244325885,0.95,1.4752997931679828
158.0,0.6379581865281513,0.9596971267337536,0.95,1.9791903293961264
160.0,0.7820268196526781,0.9770221863628294,0.96,1.446577204777996
169.0,0.6821168155206828,0.9646511660514561,0.96,0.6080833546007826
178.0,0.6031072208448318,0.9510501148399199,0.95,0.4847959014716949
163.0,0.7279827539409983,0.9764266459392026,0.96,1.1938657861396704
126.0,0.8535888570600887,0.9801880620641154,0.97,2.255227187934731
166.0,0.6912330089029104,0.9627085034700762,0.96,1.5003402756974964
100.0,-0.7798785314463308,0.971370125268528,0.97,0.4937307007936426
169.0,0.5514197271824309,0.9610616431282856,0.94,1.8774245474412579
155.0,0.6617230376515534,0.9724395861237186,0.96,3.7742192835858885
163.0,0.6866243841535159,0.9620732479813371,0.96,0.4636351662884782
156.0,0.7033094470713478,0.9759716121562553,0.96,1.883648504352172
153.0,0.8355457223639533,0.9731905651644002,0.97,3.2905477609925704
162.0,0.763479874961416,0.9689536074522869,0.96,2.5603019212673663
178.0,0.6322763987942095,0.9553165531462562,0.95,1.3594926175529856
168.0,0.6229859701924064,0.9660253032623294,0.95,1.635067691901644
179.0,0.6440069360009963,0.981875690277697,0.95,2.479908823714053
154.0,0.7803003286948432,0.964744467071287,0.96,2.8038250271470435
161.0,0.7298289480893738,0.9832336816048831,0.96,1.685422688505152
158.0,0.6422735073344155,0.9685566176783922,0.95,1.5629783879870507
161.0,0.6466109115115781,0.9616305412927663,0.95,1.490447904491646
151.0,0.6767917985385311,0.9620867240760093,0.96,1.6795270286787702
162.0,0.6600550828677866,0.9665671038781586,0.96,1.0629876335193096
154.0,0.7431227593977784,0.9786230578023791,0.96,1.6525216702274697
156.0,0.7289467187668903,0.9621623067115003,0.96,1.3111326179023743
170.0,0.6590729128006475,0.955817675444799,0.95,1.0755047222978884
171.0,0.5347044081252356,0.9467750646899415,0.94,1.1329200949121385
159.0,0.7462891855413074,0.9606138680343705,0.96,0.3930142111299341
167.0,0.6504321466839227,0.9745330482294615,0.95,1.6457572619579586
183.0,0.6459086620394702,0.9805318472928759,0.95,2.96969489909171
175.0,0.6516071637803867,0.9751941188291439,0.95,2.6944216763362023
158.0,0.7993114522788646,0.9746961376953449,0.96,2.6347020867613304
169.0,0.6335332889703853,0.9524431642826424,0.95,0.4789400627326188
163.0,0.6689891393556715,0.9713417349687213,0.96,0.797717999844817
154.0,0.7565804519783558,0.9614049155636168,0.96,0.6963894872285299
158.0,0.856361468065515,0.9850312962853727,0.97,1.6075088855823538
160.0,0.7464824866656635,0.9815723756137293,0.96,1.4171319112698195
158.0,0.6311650981638487,0.9734195929491934,0.95,1.8293708911499533
155.0,0.7243692799256497,0.9815445793647996,0.96,2.5374325999268503
166.0,0.5465697161621699,0.9570174411765281,0.94,1.7534678168166429
130.0,-0.6556572021932838,0.9711140959477326,0.95,-2.016854774233173
167.0,0.665003811247975,0.9809849752783372,0.96,2.0000663219504125
119.0,0.5341991072871307,0.9531529949672054,0.94,1.5343628914007048
164.0,0.5928618241475963,0.9620802204639778,0.95,1.5046960093722526
164.0,0.6756970837652934,0.9709087285064345,0.96,2.08949199253144
161.0,0.6498535101963366,0.9509855630576762,0.95,1.4108761153308764
171.0,0.6455021464444856,0.9503388199703104,0.95,1.1198742137850233
120.0,-1.1589969582006099,0.9875446242510784,0.98,-1.2323725017295384
154.0,0.711842463561307,0.9804663227646169,0.96,1.3732422469458485
167.0,0.6447232041343889,0.9750952382861836,0.95,1.8866196853254615
168.0,0.7421206580951033,0.9939665835777068,0.96,3.64743441881165
161.0,0.6258537585701932,0.9719817275491728,0.95,1.9177862638376417
148.0,0.74387955793382,0.9785257603345395,0.96,1.6618782001665875
158.0,0.6406734455757281,0.9736286428821127,0.95,1.7298068335175145
163.0,0.67181871610733,0.9781619295894649,0.96,1.8808264691173686
166.0,0.6617976920917271,0.9630933234756918,0.96,0.46720235390347753
157.0,0.8437366850142304,0.9853786507074612,0.97,2.829432344563041
162.0,0.6867500297150723,0.9780327489263432,0.96,2.2445003556340763
154.0,0.7299331640449562,0.9880083901022693,0.96,2.084791587594829
156.0,0.7214269765307545,0.9639862855664038,0.96,1.2064825357843425
192.0,0.5992488214207413,0.9673170066479008,0.95,2.548224661802577
100.0,-0.5469555869072912,0.999937439979136,0.94,-1.2698983808637516
159.0,0.7503795891516452,0.980618894713177,0.96,1.3732925154719138
156.0,0.7502306868572755,0.9774462674931788,0.96,1.1276237323113656
158.0,0.6605920121872071,0.9832540357847999,0.96,2.3071673487092625
164.0,0.6949193583745947,0.9801965795185728,0.96,2.941079339413532
162.0,0.7431103027390801,0.9905728653781362,0.96,2.6742654397395524
145.0,0.574771665152152,0.9798701025854385,0.95,2.2177837709416033
160.0,0.6133011250552204,0.9698341767319582,0.95,1.1361498070716287
172.0,0.6565320750200934,0.951901528396906,0.95,0.42255038562945213
197.0,0.6034150243139499,0.9760608438790895,0.95,2.657032217195521
158.0,0.6916684377508062,0.9680403509893362,0.96,1.2419519332098696
154.0,0.6526418250469427,0.9575316541141896,0.95,1.1811544504005105
168.0,0.5400798012787045,0.9401853931175458,0.94,1.0259805016173678
159.0,0.7553455803746536,0.9747108876509892,0.96,1.8321364081790228
155.0,0.7688828184385402,0.9751420404808601,0.96,3.0983531130662474
145.0,0.6880587065908359,0.9721652208132844,0.96,0.8380516664353279
161.0,0.5987894736737986,0.9518494105107913,0.95,2.2945845977354393
140.0,-0.6472296270059946,0.9595164092029659,0.95,-1.139206311291926
159.0,0.7444190475562535,0.9722381121560238,0.96,1.6534302063446655
171.0,0.5895668177606651,0.9557717893381036,0.95,1.0658972098133674
111.0,0.5368446664121891,0.970497811976237,0.94,1.5897885920346626
173.0,0.6587099988389982,0.9683284247270237,0.95,1.4380148118154836
164.0,0.5415604894541101,0.9502870727479683,0.94,0.7958361831882306
163.0,0.6907117722579642,0.9742086748917007,0.96,1.3666113428950226
155.0,0.7533132011470804,0.9729949823548549,0.96,1.8731100204918987
185.0,0.6027669730010754,0.9627486332909542,0.95,2.210514593300397
174.0,0.6336125245744486,0.9647521061992574,0.95,0.8266010225103302
101.0,0.5779907831257451,0.9598859940708584,0.95,0.9990214579951847
173.0,0.5343581477985555,0.9681190811435868,0.94,1.8912800040355886
174.0,0.6704454439137082,0.9776401563524232,0.96,1.6638579898973873
156.0,0.6978691399960044,0.9699218665447376,0.96,0.7258683413433911
101.0,-0.7070472204568501,0.9832244930690103,0.96,-2.62989959264315
162.0,0.5700329679857762,0.9658880713784751,0.95,1.2208408835261502
160.0,0.6178278814846914,0.9672897852830602,0.95,2.691761253663505
176.0,0.6152298695080007,0.9769191054576466,0.95,1.6619170302226425
162.0,0.6463172312847049,0.9645902609823668,0.95,0.8924257346086628
167.0,0.5964722818713813,0.9629559197195144,0.95,1.65133701254014
163.0,0.5357602619858726,0.9515286151192636,0.94,0.6962023654547616
155.0,0.6336764308802856,0.9733933322628484,0.95,1.4207643521672115
158.0,0.6419297321144534,0.970185407790961,0.95,2.811620392518816
166.0,0.6717787745862678,0.9653657350081009,0.96,1.384079749147162
177.0,0.6600517004115066,0.9740470072273528,0.96,1.9731310388833996
157.0,0.7810167522472974,0.9678019766719587,0.96,2.0868399835803917
159.0,0.7475664001861628,0.9669496123856943,0.96,2.491791986122891
164.0,0.7804795019794253,0.9779343822008234,0.96,3.440350406532384
