c,sigma1,pi,piStar,y
160.0,2.336059921152485,0.9873794319331481,0.96,-2.59355995040685
161.0,2.108905438997588,0.998037930618969,0.96,3.791658785853125
160.0,1.9507995512934044,0.9648188116089385,0.96,-2.2428544836888378
164.0,2.0985322367297585,0.978498356776966,0.96,2.815560127574598
168.0,2.090478796046893,0.9748949828951815,0.96,2.6536122581531845
174.0,1.7101088155685118,0.9602977563754208,0.96,-2.8005418833104105
154.0,2.3097291537129383,0.997302556858588,0.96,-4.337868795924722
176.0,2.2447573459788015,0.9836730244349017,0.96,4.101622343058796
161.0,1.932660611449905,0.9691548104785371,0.96,2.046558958050478
154.0,2.4181633710907966,0.9976484301210382,0.96,-3.180382615897313
161.0,2.0500038879620424,0.9684701480594167,0.96,-1.8686332790372053
154.0,2.575072997101327,0.9999901723217162,0.96,6.397501170283884
164.0,2.2218985572929113,0.9636802754860547,0.96,3.801132668113553
163.0,2.017209037402513,0.9897118065605284,0.96,-3.1599856361667293
159.0,2.1702340430858795,0.9883515710655304,0.96,-3.0545462220748423
152.0,2.582132587371839,0.999992988809984,0.96,6.022984241940352
156.0,2.347291443675328,0.9899316446979693,0.96,3.055836862985628
165.0,2.10079667036187,0.973209145383403,0.96,2.5211478710467374
167.0,2.3871353698374276,0.9995985527915751,0.96,4.513860772683184
169.0,2.3268637262251843,0.9996029005397378,0.96,4.5766317636675025
152.0,2.4066450175311367,0.9996682893334556,0.96,4.375309644671561
162.0,2.0928534553620053,0.9661550059821128,0.96,-2.9607491319355344
158.0,2.2686020359482395,0.9797360876639697,0.96,4.340853350206212
163.0,1.897819134369851,0.9702511602858096,0.96,2.248617193331643
153.0,2.4965105590802454,0.9995313263994324,0.96,3.6462388845369014
152.0,2.404977033075711,0.9980239426315516,0.96,3.2176576471271785
166.0,2.1974179615839335,0.9780391335575955,0.96,1.9313150350557702
154.0,2.288083693495118,0.9921621311041999,0.96,3.6184119085505295
163.0,2.2845180886893175,0.9856150399050321,0.96,-2.388192585160573
153.0,2.378235895667791,0.9986091720331345,0.96,4.225579898275875
159.0,2.2633285671384438,0.9703017171645102,0.96,-1.7485962185011923
154.0,2.301437453961671,0.9977468718326983,0.96,-3.2806893041887335
162.0,1.5331221821012433,0.9783469970933081,0.94,-3.2506462872267745
159.0,2.3879580992523626,0.9998325970620718,0.96,-4.247471176058181
161.0,2.4076738482885536,0.9996974670121251,0.96,4.135644634545126
163.0,2.4748885924954838,0.9994809433576073,0.96,-5.188181527012375
159.0,2.3427043161679384,0.9916055106195459,0.96,4.279012676164782
153.0,2.249001142498903,0.9975432014259411,0.96,3.230394370386866
152.0,2.307765449172584,0.9907892808698859,0.96,5.384121476998334
170.0,1.7680002753171185,0.9835691219025364,0.96,-2.3525050869538218
155.0,2.169402066006656,0.9786580722854636,0.96,4.00656791348805
162.0,2.1852668142551788,0.9943504837001056,0.96,4.26607639488259
157.0,2.3471132781979915,0.9893033616085446,0.96,3.971078051863416
154.0,2.304611514646427,0.9690954348944288,0.96,-2.961882906041569
152.0,2.4835631797088458,0.9989491050837696,0.96,-5.260180348391641
154.0,2.3664793917978426,0.9955947110189658,0.96,2.792162127817789
152.0,2.241839548488285,0.9709058952730163,0.96,-1.8219252925721976
168.0,2.4137937609099476,0.9978078803838689,0.96,-4.75725377804087
164.0,2.0121044750275,0.9737939289837495,0.96,-3.25161604318188
171.0,2.4754912353304945,0.9999880784367262,0.96,6.716844931922123
155.0,2.31050058675792,0.9978136652165,0.96,-4.298325337397742
157.0,2.231265320510871,0.9641226737041497,0.96,-3.5219198625313792
156.0,2.6545637440679313,0.9999999996152212,0.96,7.425994962259058
157.0,2.4379949949639608,0.9983425598244868,0.96,5.232539409733753
162.0,2.2114235990312414,0.9997831578788393,0.96,-4.474773573188102
152.0,2.288720746794349,0.9848093382822034,0.96,-3.1996979771798713
154.0,2.3594340086435945,0.9988840366474848,0.96,-3.3665416574650826
166.0,2.208718315503108,0.965449772236916,0.96,-3.4893882513836716
152.0,2.3911110922782606,0.9829606397765744,0.96,-4.649044740937813
162.0,2.042570997593153,0.9697301026474194,0.96,1.933913522652958
154.0,2.3372580264709057,0.9978159593204216,0.96,-4.129920094702867
159.0,2.1757229602490247,0.972891196862524,0.96,-2.49704719878107
179.0,1.8438400516159639,0.9636278363015143,0.96,2.625196246673917
155.0,2.2978052756150222,0.9983276592696103,0.96,4.506810681268181
156.0,2.7159789884736996,0.9999999998973452,0.96,8.093265871014838
150.0,2.420775931181845,0.9924579472809971,0.96,4.735957265165886
164.0,1.9016800169671886,0.9694787671318117,0.96,-2.033535821332716
159.0,2.528023496225014,0.9999967811869003,0.96,-5.83767477782316
156.0,1.5537265708083137,0.9904484519042742,0.94,4.909226156670668
163.0,2.0826401410457756,0.9892304813548649,0.96,2.840661221234277
164.0,2.2006893840704413,0.9960288955723361,0.96,2.9427239442751043
170.0,1.9875821473073942,0.9958074139020163,0.96,-3.4194940418192514
169.0,2.1801362510652598,0.9999673641828098,0.96,5.201873666382203
167.0,2.311785047447192,0.9979503799257012,0.96,4.436325430796408
155.0,2.260888791523579,0.9788959436501188,0.96,2.9613563189485146
157.0,2.071598944445979,0.9631635283313609,0.96,2.649604309078624
177.0,2.140672409640098,0.9963026965604793,0.96,-3.3770012742013424
156.0,2.2330529669733954,0.9979570995915173,0.96,-3.8451032236214746
156.0,2.344618810616757,0.9992081434460459,0.96,4.235196481866695
153.0,2.1327044453930153,0.9966277161474242,0.96,3.7347552178455055
155.0,2.3950088060731494,0.9963823429585348,0.96,-4.194141849024241
159.0,2.211963494659354,0.9741887447310795,0.96,-2.157544953796581
156.0,2.021958323770425,0.9967227914163517,0.96,3.6802175409961286
156.0,2.4661386664655263,0.9997222060738817,0.96,4.327422054549127
175.0,1.7301107990821616,0.9563194760264313,0.95,2.209957982221928
159.0,2.287598174540591,0.9846572721131358,0.96,-4.544605102083488
162.0,2.4612285420202284,0.9999597806278473,0.96,5.041621424476628
167.0,2.285067619751941,0.9946930812612236,0.96,4.170558128357182
157.0,1.4791006602806134,0.9790936145569425,0.94,-3.4556494436809073
153.0,2.497178481491785,0.998322854364005,0.96,5.636250757433992
163.0,2.0575232771772094,0.9892043436370767,0.96,3.3243117443784915
133.0,2.357743008749062,0.9741888032541358,0.96,4.170859518298998
153.0,2.4726237801936435,0.9999087198876304,0.96,-4.846723376471578
159.0,2.2044435741752118,0.9964732345629359,0.96,4.150585984893773
166.0,2.1884599871160213,0.9986682375175548,0.96,-3.5974059809874985
157.0,2.202005529749039,0.9950661327194004,0.96,-3.3796328738389962
175.0,1.942402640353458,0.9998948112609907,0.96,4.546692592803924
165.0,2.1968846296180566,0.9972153674760438,0.96,-3.462234135550247
150.0,2.1457246336459193,0.9753774301492752,0.96,4.644813077470012
157.0,2.4584758846931654,0.9970129148526445,0.96,-5.171579773809567
176.0,1.918547856991142,0.9727590489548151,0.96,2.5892788884137765
160.0,2.1235201700338973,0.9885584071807195,0.96,4.002040318326216
155.0,2.2476742554169165,0.96988422695037,0.96,3.7300722721454744
162.0,2.0255630099824655,0.976278466848254,0.96,-2.047459404267905
166.0,2.1859832978478573,0.9660325869867928,0.96,1.8187309471965991
159.0,2.3527994300161885,0.9997096309256391,0.96,4.442020743251233
152.0,2.256685140430213,0.9893113772097455,0.96,3.742555593948988
159.0,2.184277910045482,0.9886024892771302,0.96,-2.6164902402242873
168.0,1.8656789209239255,0.9789961497380473,0.96,2.0325068205915477
156.0,2.33292738954848,0.9990914532085408,0.96,-4.564231491931616
155.0,2.3187730228001473,0.9868645100715479,0.96,4.181296117125773
156.0,2.3451110097993317,0.9936101318561635,0.96,3.884147102937702
154.0,2.457864838314294,0.9999848805935785,0.96,-5.329440379389988
163.0,2.195875200855691,0.9940374087491474,0.96,-3.5786735946670563
154.0,2.3714488291125595,0.9992490328797637,0.96,-3.80752539466556
153.0,2.32989122220192,0.9971141584364063,0.96,3.0418612061692905
154.0,2.3664664739348895,0.9988583734371028,0.96,4.136478806834505
172.0,2.0479236848542115,0.9824954708628785,0.96,-3.454108985853312
173.0,2.1038865565543055,0.9903267088755481,0.96,2.512035741412862
193.0,2.0768909118893952,0.9872805246397859,0.96,3.43078429058464
151.0,2.311371149653011,0.9799959381059428,0.96,-5.015409784407661
155.0,1.8596412286826245,0.9669274347412589,0.96,4.115213239594079
157.0,2.328837154942985,0.9994440010914064,0.96,3.9268217553308853
155.0,2.387691168100188,0.9952130858627843,0.96,-4.9515620707408505
163.0,1.9893285734618127,0.977095616680688,0.96,2.3426340086848927
166.0,2.352298132506657,0.9999465001809028,0.96,-4.898685797735326
152.0,2.328968957193886,0.9956766878900993,0.96,2.9766818956818457
161.0,2.157884653611605,0.9883456948836711,0.96,-2.8668098058548463
159.0,2.4655064380789082,0.9999396717657453,0.96,-4.8862650256481395
